id,starting_pos,player_a,player_b,time_a,time_b,result
2329,35423,Whisper,Ascendant,60000,60000,-1
2330,35446,Ascendant,Whisper,60000,60000,-1
2331,35444,Whisper,Ascendant,60000,60000,-1
2332,35447,Ascendant,Whisper,60000,60000,1
2333,35446,Whisper,Ascendant,60000,60000,-1
2334,35448,Ascendant,Whisper,60000,60000,1
2335,35447,Whisper,Ascendant,60000,60000,1
2336,35469,Ascendant,Whisper,60000,60000,-1
2337,35448,Whisper,Ascendant,60000,60000,1
2338,35471,Ascendant,Whisper,60000,60000,-1
2339,35469,Whisper,Ascendant,60000,60000,-1
2340,35656,Ascendant,Whisper,60000,60000,-1
2341,35471,Whisper,Ascendant,60000,60000,-1
2342,35761,Ascendant,Whisper,60000,60000,-1
2343,35472,Whisper,Ascendant,60000,60000,1
2344,35762,Ascendant,Whisper,60000,60000,-1
2345,35473,Whisper,Ascendant,60000,60000,-1
2346,35763,Ascendant,Whisper,60000,60000,1
2347,35666,Whisper,Ascendant,60000,60000,1
2348,35766,Ascendant,Whisper,60000,60000,-1
2349,35763,Whisper,Ascendant,60000,60000,1
2350,35767,Ascendant,Whisper,60000,60000,1
2351,35766,Whisper,Ascendant,60000,60000,-1
2352,35768,Ascendant,Whisper,60000,60000,1
2353,35767,Whisper,Ascendant,60000,60000,1
2354,35785,Ascendant,Whisper,60000,60000,1
2355,35768,Whisper,Ascendant,60000,60000,1
2356,35789,Ascendant,Whisper,60000,60000,-1
2357,35785,Whisper,Ascendant,60000,60000,1
2358,35790,Ascendant,Whisper,60000,60000,1
2359,37534,Whisper,Ascendant,60000,60000,-1
2360,37540,Ascendant,Whisper,60000,60000,-1
2361,37539,Whisper,Ascendant,60000,60000,-1
2362,37544,Ascendant,Whisper,60000,60000,-1
2363,37540,Whisper,Ascendant,60000,60000,-1
2364,37546,Ascendant,Whisper,60000,60000,-1
2365,37748,Whisper,Ascendant,60000,60000,1
2366,37872,Ascendant,Whisper,60000,60000,1
2367,38471,Whisper,Ascendant,60000,60000,1
2368,38473,Ascendant,Whisper,60000,60000,1
2369,38472,Whisper,Ascendant,60000,60000,1
2370,38491,Ascendant,Whisper,60000,60000,1
2371,38473,Whisper,Ascendant,60000,60000,1
2372,38492,Ascendant,Whisper,60000,60000,1
2373,38491,Whisper,Ascendant,60000,60000,1
2374,38493,Ascendant,Whisper,60000,60000,1
2375,38492,Whisper,Ascendant,60000,60000,1
2376,38516,Ascendant,Whisper,60000,60000,-1
2377,38493,Whisper,Ascendant,60000,60000,1
2378,38517,Ascendant,Whisper,60000,60000,-1
2379,38516,Whisper,Ascendant,60000,60000,-1
